Server,IP ,domain
bearparse04,10.230.222.53,atl.careerbuilder.com
bearparse05,10.230.222.54,atl.careerbuilder.com
bearpsbhive1,10.230.107.100,atl.careerbuilder.com
bearpsbhive2,10.230.107.101,atl.careerbuilder.com
bearpxe,10.230.15.81,atl.careerbuilder.com
bearrelay,10.230.77.102,atl.careerbuilder.com
bearres,10.230.76.187,atl.careerbuilder.com
BEARRPROC11,10.230.230.111,atl.careerbuilder.com
bearshark,10.230.77.104,atl.careerbuilder.com
bearsniff,10.230.1.120,atl.careerbuilder.com
bearsolrapi12,10.230.106.114,atl.careerbuilder.com
bearsolrapi8,10.230.214.150,atl.careerbuilder.com
bearsolrapi9,10.230.106.111,atl.careerbuilder.com
bearsolrapim12,10.230.106.108,atl.careerbuilder.com
bearsolrapim8,10.230.214.149,atl.careerbuilder.com
bearsolrapim9,10.230.106.105,atl.careerbuilder.com
bearsolrjob17,10.230.214.151,atl.careerbuilder.com
bearsolrjob18,10.230.214.152,atl.careerbuilder.com
bearsolrjob19,10.230.214.153,atl.careerbuilder.com
bearsolrmvm,10.230.214.250,atl.careerbuilder.com
bearsolrone03,10.230.106.168,atl.careerbuilder.com
bearsolrone04,10.230.106.169,atl.careerbuilder.com
bearsolrone05,10.230.106.170,atl.careerbuilder.com
bearsolrone06,10.230.106.171,atl.careerbuilder.com
bearsolrone07,10.230.106.172,atl.careerbuilder.com
bearsolronem1,10.230.106.165,atl.careerbuilder.com
bearsolrres37,10.230.77.151,atl.careerbuilder.com
bearsolrres38,10.230.77.152,atl.careerbuilder.com
bearsolrtmp,10.230.214.252,atl.careerbuilder.com
bearsolrtmpm,10.230.214.253,atl.careerbuilder.com
bearsolrvm,10.230.214.249,atl.careerbuilder.com
BEARSTAPI14,10.230.205.174,atl.careerbuilder.com
BEARSTAPI17,10.230.205.177,atl.careerbuilder.com
BEARSTAPI18,10.230.205.178,atl.careerbuilder.com
BEARSTAPI19,10.230.205.179,atl.careerbuilder.com
bearvm1,10.230.70.51,atl.careerbuilder.com
bearvm2,10.230.70.52,atl.careerbuilder.com
bearvm3,10.230.70.53,atl.careerbuilder.com
bearvm4,10.230.70.54,atl.careerbuilder.com
bearvm5,10.230.70.55,atl.careerbuilder.com
bearvm6,10.230.70.56,atl.careerbuilder.com
BearVMHost01,10.230.15.101,atl.careerbuilder.com
